brand_name,indication,disease,disease_category,year,women,white,black,asian,other,hispanic,us_only,age_65,age_75,age_80
Vyzulta,Treatment of glaucoma,Glaucoma,Other,2017,58.0,74.0,24.0,1.0,1.0,12%,91%,52.0,,
Xadago,Treatment of Parkinson’s disease,Parkinson’S Disease,Neurological,2017,33.0,41.0,1.0,59.0,0.0,2%,8%,38.0,,
Xepi,Treatment of impetigo,Impetigo,Infectious Disease,2017,44.0,53.0,34.0,4.0,9.0,17%,23%,3.0,,
Xermelo,Treatment of carcinoid syndrome diarrhea,Carcinoid Syndrome Diarrhea,Other,2017,50.0,90.0,1.0,0.0,9.0,0%,32%,49.0,,
Zejula,Treatment of ovarian cancer,Ovarian Cancer,Cancer,2017,100.0,87.0,1.0,3.0,9.0,3%,70%,35.0,,
Aimovig,Preventive treatment of migraine in adults,Migraine,Neurological,2018,85.0,91.0,7.0,1.0,1.0,7%,,45.0,,
Akynzeo,Prevention of the nausea and vomiting that happens right away or later in adults receiving certain anticancer medicines (chemotherapy),Chemotherapy-Induced Nausea And Vomiting,Cancer,2018,40.0,100.0,1.0,1.0,1.0,Not reported,,32.0,,
Azedra,Treatment of pheochromocytomas or paragangliomas,Pheochromocytomas Or Paragangliomas,Other,2018,42.0,75.0,19.0,6.0,0.0,1.10%,,16.0,,
Biktarvy,Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,Human Immunodeficiency Virus 1,Infectious Disease,2018,13.0,63.0,29.0,3.0,4.0,21%,65%,2.0,,
Braftovi,Treatment of melanoma (a type of skin cancer) when used with another drug binimetinib,Melanoma,Cancer,2018,41.0,91.0,0.0,3.0,6.0,9%,,29.0,,
Crysvita,For the treatment of X-linked hypophosphatemia,X-Linked Hypophosphatemia,Metabolic / Genetic,2018,60.0,83.0,3.0,11.0,3.0,8%,,,,
Doptelet,Treatment of adults with low platelet count,Immune Thrombocytopenia,Other,2018,34.0,60.0,2.0,33.0,5.0,17.70%,,25.0,,
Epidiolex,Treatment of seizures in two rare and severe forms of epilepsy.,Epilepsy,Neurological,2018,46.0,86.0,4.0,2.0,8.0,2%,,0.0,,
Erleada,Treatment of prostate cancer that has not spread to other parts of the body (non-metastatic),Prostate Cancer,Cancer,2018,0.0,66.0,6.0,12.0,16.0,1.20%,,89.0,,
Ilumya,For the treatment of moderate to severe plaque psoriasis,Moderate To Severe Plaque Psoriasis,Immune / Inflammatory,2018,29.0,80.0,3.0,14.0,3.0,9%,,9.0,,
Krintafel,"Prevention of malaria relapse caused by the parasite, Plasmodium vivax",Malaria,Infectious Disease,2018,25.0,2.0,11.0,19.0,68.0,70%,,2.0,,
Lokelma,Treatment of hyperkalemia in adults,Hyperkalemia,Cardiovascular,2018,41.0,85.0,12.0,2.0,1.0,33%,,57.0,,
Lucemyra,For the treatment of symptoms associated with opioid withdrawal during abrupt opioid discontinuation.,Opioid Withdrawal,Other,2018,28.0,67.0,22.0,1.0,11.0,17%,,1.0,,
Lutathera,For the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs),Neuroendocrine Tumors,Cancer,2018,49.0,83.0,4.0,1.0,13.0,3%,,51.0,,
Mektovi,Treatment of  melanoma (a type of skin cancer)  when used with another drug encorafenib.,Melanoma,Cancer,2018,41.0,91.0,0.0,3.0,6.0,9%,,29.0,,
Moxidectin,Treatment of onchocerciasis in patients 12 years of age and older,Onchocerciasis,Infectious Disease,2018,36.0,0.0,100.0,0.0,0.0,0%,,9.1,,
Mulpleta,Treatment of adults with low platelet count,Immune Thrombocytopenia,Other,2018,41.0,50.0,1.0,47.0,3.0,7.90%,,37.0,,
Olumiant,Treatment of adult patients with rheumatoid arthritis (RA) whose disease was not well controlled using RA medications called Tumor Necrosis Factor (TNF) antagonists,Rheumatoid Arthritis,Cancer,2018,80.0,67.0,3.0,25.0,5.0,24.90%,,17.8,,
Omegaven,Parenteral nutrition-associated cholestasis (PNAC),Parenteral Nutrition-Associated Cholestasis,Other,2018,42.0,63.0,12.0,4.0,21.0,20%,,,,
Orilissa,Treatment of moderate to severe pain associated with endometriosis,Endometriosis,Other,2018,100.0,88.0,9.0,1.0,2.0,14.70%,,0.0,,
Palynziq,Lowering the blood levels of phenylalanine in adults with phenylketonuria (PKU),Phenylketonuria,Metabolic / Genetic,2018,50.0,98.0,1.0,0.0,1.0,2.50%,,0.0,,
Poteligeo,Treatment of  adults with mycosis fungoides or Sézary syndrome,Mycosis Fungoides / Sézary Syndrome,Other,2018,42.0,70.0,10.0,5.0,15.0,4%,,49.0,,
Symdeko,For the treatment of cystic fibrosis,Cystic Fibrosis,Other,2018,50.0,97.0,1.0,1.0,2.0,2.90%,,,,
Tavalisse,Treatment of  adults with low platelet count due to chronic immune thrombocytopenia (ITP),Immune Thrombocytopenia,Immune / Inflammatory,2018,61.0,93.0,3.0,3.0,1.0,3%,,26.0,,
Tibsovo,Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH1 and whose disease has come back or has not improved after previous treatment(s),Acute Myeloid Leukemia,Cancer,2018,50.0,63.0,6.0,3.0,28.0,5%,,63.0,,
Tpoxx,Treatment of smallpox disease,Smallpox Disease,Infectious Disease,2018,59.0,69.0,28.0,1.0,2.0,11%,,10.0,,
Trogarzo,Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,Human Immunodeficiency Virus 1,Infectious Disease,2018,15.0,55.0,32.0,10.0,3.0,25%,,5.0,,
Zemdri,Treatment of adults who have a complicated urinary tract infection,Complicated Urinary Tract Infection,Infectious Disease,2018,53.0,100.0,0.0,0.0,1.0,1%,,46.0,,
